name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
"Yénandjro
",ABOMEY-CALAVI,Godomey,6.410203,2.313503,3.7,4,90087,5,5,0,100.0,0,0,0,False,GOOD
"Houégoudo
",ABOMEY-CALAVI,Zinvié,6.630823,2.34209,5.3,3,90087,2,2,0,100.0,0,0,0,False,OSM_DATA_LIMIT
"Dénou
",ABOMEY-CALAVI,Godomey,6.380664,2.340791,27.8,6,90087,13,15,3,115.4,7,0,16,True,PARTIAL
Djigbo,ABOMEY-CALAVI,Kpanroun,6.687702,2.374768,11.1,3,90087,2,2,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Djédjé-Layé,COTONOU,2ème Arrondissement,6.388456,2.459343,12.6,5,90087,9,10,1,111.1,0,0,6,True,GOOD
"Hêdomè
",ABOMEY-CALAVI,Godomey,6.374946,2.307905,5.9,3,90087,5,4,1,80.0,0,0,0,False,GOOD
Ahouassa,COTONOU,2ème Arrondissement,6.382286,2.45933,10.2,4,90087,9,13,1,144.4,1,0,5,False,GOOD
Zinvié-Zounmè,ABOMEY-CALAVI,Zinvié,6.622386,2.347936,5.2,3,90087,5,6,0,120.0,0,0,0,False,GOOD
Midombo,COTONOU,3ème Arrondissement,6.377283,2.44456,5.0,4,90087,6,9,0,150.0,0,0,2,False,GOOD
"Adjamè
",ABOMEY-CALAVI,Golo-Djigbé,6.562398,2.297066,6.7,3,90087,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Ladji,COTONOU,6ème Arrondissement,6.39135,2.428146,0.5,2,90087,4,3,1,75.0,0,0,0,False,PARTIAL
Sènadé-Sèkon,COTONOU,2ème Arrondissement,6.375689,2.45955,4.0,3,90087,7,6,2,85.7,5,0,7,True,PARTIAL
Avagbé,ABOMEY-CALAVI,Kpanroun,6.668193,2.37577,18.0,3,90087,4,4,0,100.0,0,0,0,False,GOOD
"Assrossa
",ABOMEY-CALAVI,Godomey,6.409462,2.326907,9.3,4,90087,10,9,1,90.0,0,0,0,False,GOOD
Vossa,COTONOU,6ème Arrondissement,6.392753,2.40955,5.7,3,90087,9,7,2,77.8,0,0,0,False,PARTIAL
Yêkon-Aga,ABOMEY-CALAVI,Golo-Djigbé,6.558756,2.312139,4.8,3,90087,4,4,0,100.0,0,0,0,False,GOOD
